sum,abbreviation,date,setname,releasedate
70.16,GEIM,2021-04-27,Genesis Impact,2020-12-18 00:00:00+00:00
70.82,GEIM,2021-04-28,Genesis Impact,2020-12-18 00:00:00+00:00
70.18,GEIM,2021-04-29,Genesis Impact,2020-12-18 00:00:00+00:00
69.51,GEIM,2021-04-30,Genesis Impact,2020-12-18 00:00:00+00:00
70.71,GEIM,2021-05-01,Genesis Impact,2020-12-18 00:00:00+00:00
69.89,GEIM,2021-05-02,Genesis Impact,2020-12-18 00:00:00+00:00
69.23,GEIM,2021-05-03,Genesis Impact,2020-12-18 00:00:00+00:00
69.79,GEIM,2021-05-04,Genesis Impact,2020-12-18 00:00:00+00:00
69.46,GEIM,2021-05-05,Genesis Impact,2020-12-18 00:00:00+00:00
68.08,GEIM,2021-05-06,Genesis Impact,2020-12-18 00:00:00+00:00
67.86,GEIM,2021-05-07,Genesis Impact,2020-12-18 00:00:00+00:00
67.43,GEIM,2021-05-08,Genesis Impact,2020-12-18 00:00:00+00:00
68.29,GEIM,2021-05-09,Genesis Impact,2020-12-18 00:00:00+00:00
67.94,GEIM,2021-05-10,Genesis Impact,2020-12-18 00:00:00+00:00
68.88,GEIM,2021-05-11,Genesis Impact,2020-12-18 00:00:00+00:00
69.75,GEIM,2021-05-12,Genesis Impact,2020-12-18 00:00:00+00:00
68.4,GEIM,2021-05-13,Genesis Impact,2020-12-18 00:00:00+00:00
68.89,GEIM,2021-05-14,Genesis Impact,2020-12-18 00:00:00+00:00
68.27,GEIM,2021-05-15,Genesis Impact,2020-12-18 00:00:00+00:00
69.79,GEIM,2021-05-17,Genesis Impact,2020-12-18 00:00:00+00:00
70.61,GEIM,2021-05-18,Genesis Impact,2020-12-18 00:00:00+00:00
70.12,GEIM,2021-05-19,Genesis Impact,2020-12-18 00:00:00+00:00
69.58,GEIM,2021-05-20,Genesis Impact,2020-12-18 00:00:00+00:00
68.23,GEIM,2021-05-21,Genesis Impact,2020-12-18 00:00:00+00:00
66.73,GEIM,2021-05-22,Genesis Impact,2020-12-18 00:00:00+00:00
65.92,GEIM,2021-05-23,Genesis Impact,2020-12-18 00:00:00+00:00
65.11,GEIM,2021-05-24,Genesis Impact,2020-12-18 00:00:00+00:00
63.76,GEIM,2021-05-25,Genesis Impact,2020-12-18 00:00:00+00:00
63.11,GEIM,2021-05-26,Genesis Impact,2020-12-18 00:00:00+00:00
63.09,GEIM,2021-05-27,Genesis Impact,2020-12-18 00:00:00+00:00
64.43,GEIM,2021-05-28,Genesis Impact,2020-12-18 00:00:00+00:00
64.21,GEIM,2021-05-29,Genesis Impact,2020-12-18 00:00:00+00:00
64.55,GEIM,2021-05-30,Genesis Impact,2020-12-18 00:00:00+00:00
65.3,GEIM,2021-05-31,Genesis Impact,2020-12-18 00:00:00+00:00
64.49,GEIM,2021-06-01,Genesis Impact,2020-12-18 00:00:00+00:00
63.1,GEIM,2021-06-02,Genesis Impact,2020-12-18 00:00:00+00:00
62.69,GEIM,2021-06-03,Genesis Impact,2020-12-18 00:00:00+00:00
61.68,GEIM,2021-06-04,Genesis Impact,2020-12-18 00:00:00+00:00
60.41,GEIM,2021-06-05,Genesis Impact,2020-12-18 00:00:00+00:00
60.58,GEIM,2021-06-06,Genesis Impact,2020-12-18 00:00:00+00:00
60.54,GEIM,2021-06-07,Genesis Impact,2020-12-18 00:00:00+00:00
61.03,GEIM,2021-06-08,Genesis Impact,2020-12-18 00:00:00+00:00
62.05,GEIM,2021-06-09,Genesis Impact,2020-12-18 00:00:00+00:00
62.92,GEIM,2021-06-10,Genesis Impact,2020-12-18 00:00:00+00:00
61.29,GEIM,2021-06-11,Genesis Impact,2020-12-18 00:00:00+00:00
60.92,GEIM,2021-06-12,Genesis Impact,2020-12-18 00:00:00+00:00
61.09,GEIM,2021-06-13,Genesis Impact,2020-12-18 00:00:00+00:00
60.82,GEIM,2021-06-14,Genesis Impact,2020-12-18 00:00:00+00:00
60.24,GEIM,2021-06-15,Genesis Impact,2020-12-18 00:00:00+00:00
59.26,GEIM,2021-06-16,Genesis Impact,2020-12-18 00:00:00+00:00
57.89,GEIM,2021-06-17,Genesis Impact,2020-12-18 00:00:00+00:00
57.75,GEIM,2021-06-18,Genesis Impact,2020-12-18 00:00:00+00:00
58.87,GEIM,2021-06-19,Genesis Impact,2020-12-18 00:00:00+00:00
58.41,GEIM,2021-06-20,Genesis Impact,2020-12-18 00:00:00+00:00
57.91,GEIM,2021-06-21,Genesis Impact,2020-12-18 00:00:00+00:00
57.46,GEIM,2021-06-22,Genesis Impact,2020-12-18 00:00:00+00:00
57.65,GEIM,2021-06-23,Genesis Impact,2020-12-18 00:00:00+00:00
58.61,GEIM,2021-06-24,Genesis Impact,2020-12-18 00:00:00+00:00
58.48,GEIM,2021-06-25,Genesis Impact,2020-12-18 00:00:00+00:00
58.85,GEIM,2021-06-26,Genesis Impact,2020-12-18 00:00:00+00:00
58.24,GEIM,2021-06-27,Genesis Impact,2020-12-18 00:00:00+00:00
57.84,GEIM,2021-06-28,Genesis Impact,2020-12-18 00:00:00+00:00
58.16,GEIM,2021-06-29,Genesis Impact,2020-12-18 00:00:00+00:00
58.22,GEIM,2021-06-30,Genesis Impact,2020-12-18 00:00:00+00:00
58.63,GEIM,2021-07-01,Genesis Impact,2020-12-18 00:00:00+00:00
59.65,GEIM,2021-07-02,Genesis Impact,2020-12-18 00:00:00+00:00
878.64,ANGU,2021-07-03,Ancient Guardians,2021-05-07 00:00:00+00:00
1493.72,BLVO,2021-07-03,Blazing Vortex,2021-02-04 00:00:00+00:00
20.06,EGS1,2021-07-03,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
961.66,GEIM,2021-07-03,Genesis Impact,2020-12-18 00:00:00+00:00
2038.72,GFTP,2021-07-03,Ghosts From the Past,2021-04-16 00:00:00+00:00
346.27,KICO,2021-07-03,Kings Court,2021-07-08 00:00:00+00:00
1699.03,LIOV,2021-07-03,Lightning Overdrive,2021-06-03 00:00:00+00:00
615.12,OP16,2021-07-03,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.66,SDFC,2021-07-03,Freezing Chains,2021-02-18 00:00:00+00:00
874.86,ANGU,2021-07-04,Ancient Guardians,2021-05-07 00:00:00+00:00
1495.71,BLVO,2021-07-04,Blazing Vortex,2021-02-04 00:00:00+00:00
19.73,EGS1,2021-07-04,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
959.44,GEIM,2021-07-04,Genesis Impact,2020-12-18 00:00:00+00:00
2041.65,GFTP,2021-07-04,Ghosts From the Past,2021-04-16 00:00:00+00:00
370.04,KICO,2021-07-04,Kings Court,2021-07-08 00:00:00+00:00
1694.11,LIOV,2021-07-04,Lightning Overdrive,2021-06-03 00:00:00+00:00
613.85,OP16,2021-07-04,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.57,SDFC,2021-07-04,Freezing Chains,2021-02-18 00:00:00+00:00
874.55,ANGU,2021-07-05,Ancient Guardians,2021-05-07 00:00:00+00:00
1496.99,BLVO,2021-07-05,Blazing Vortex,2021-02-04 00:00:00+00:00
19.35,EGS1,2021-07-05,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
956.07,GEIM,2021-07-05,Genesis Impact,2020-12-18 00:00:00+00:00
2046.12,GFTP,2021-07-05,Ghosts From the Past,2021-04-16 00:00:00+00:00
357.69,KICO,2021-07-05,Kings Court,2021-07-08 00:00:00+00:00
1684.81,LIOV,2021-07-05,Lightning Overdrive,2021-06-03 00:00:00+00:00
613.5,OP16,2021-07-05,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.5,SDFC,2021-07-05,Freezing Chains,2021-02-18 00:00:00+00:00
873.76,ANGU,2021-07-06,Ancient Guardians,2021-05-07 00:00:00+00:00
1496.98,BLVO,2021-07-06,Blazing Vortex,2021-02-04 00:00:00+00:00
19.39,EGS1,2021-07-06,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
953.39,GEIM,2021-07-06,Genesis Impact,2020-12-18 00:00:00+00:00
2048.36,GFTP,2021-07-06,Ghosts From the Past,2021-04-16 00:00:00+00:00
332.92,KICO,2021-07-06,Kings Court,2021-07-08 00:00:00+00:00
1686.38,LIOV,2021-07-06,Lightning Overdrive,2021-06-03 00:00:00+00:00
613.28,OP16,2021-07-06,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.47,SDFC,2021-07-06,Freezing Chains,2021-02-18 00:00:00+00:00
874.06,ANGU,2021-07-07,Ancient Guardians,2021-05-07 00:00:00+00:00
1496.37,BLVO,2021-07-07,Blazing Vortex,2021-02-04 00:00:00+00:00
19.28,EGS1,2021-07-07,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
951.14,GEIM,2021-07-07,Genesis Impact,2020-12-18 00:00:00+00:00
2043.92,GFTP,2021-07-07,Ghosts From the Past,2021-04-16 00:00:00+00:00
289.29,KICO,2021-07-07,Kings Court,2021-07-08 00:00:00+00:00
1680.08,LIOV,2021-07-07,Lightning Overdrive,2021-06-03 00:00:00+00:00
612.05,OP16,2021-07-07,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.38,SDFC,2021-07-07,Freezing Chains,2021-02-18 00:00:00+00:00
870.31,ANGU,2021-07-08,Ancient Guardians,2021-05-07 00:00:00+00:00
1496.13,BLVO,2021-07-08,Blazing Vortex,2021-02-04 00:00:00+00:00
19.11,EGS1,2021-07-08,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
952.31,GEIM,2021-07-08,Genesis Impact,2020-12-18 00:00:00+00:00
2033.3,GFTP,2021-07-08,Ghosts From the Past,2021-04-16 00:00:00+00:00
179.38,KICO,2021-07-08,Kings Court,2021-07-08 00:00:00+00:00
1680.18,LIOV,2021-07-08,Lightning Overdrive,2021-06-03 00:00:00+00:00
611.38,OP16,2021-07-08,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.46,SDFC,2021-07-08,Freezing Chains,2021-02-18 00:00:00+00:00
870.01,ANGU,2021-07-09,Ancient Guardians,2021-05-07 00:00:00+00:00
1494.21,BLVO,2021-07-09,Blazing Vortex,2021-02-04 00:00:00+00:00
19.16,EGS1,2021-07-09,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
949.74,GEIM,2021-07-09,Genesis Impact,2020-12-18 00:00:00+00:00
2015.81,GFTP,2021-07-09,Ghosts From the Past,2021-04-16 00:00:00+00:00
127.12,KICO,2021-07-09,Kings Court,2021-07-08 00:00:00+00:00
1670.23,LIOV,2021-07-09,Lightning Overdrive,2021-06-03 00:00:00+00:00
610.02,OP16,2021-07-09,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.49,SDFC,2021-07-09,Freezing Chains,2021-02-18 00:00:00+00:00
869.97,ANGU,2021-07-10,Ancient Guardians,2021-05-07 00:00:00+00:00
1494.78,BLVO,2021-07-10,Blazing Vortex,2021-02-04 00:00:00+00:00
19.61,EGS1,2021-07-10,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
948.42,GEIM,2021-07-10,Genesis Impact,2020-12-18 00:00:00+00:00
2001.35,GFTP,2021-07-10,Ghosts From the Past,2021-04-16 00:00:00+00:00
113.88,KICO,2021-07-10,Kings Court,2021-07-08 00:00:00+00:00
1662.7,LIOV,2021-07-10,Lightning Overdrive,2021-06-03 00:00:00+00:00
602.49,OP16,2021-07-10,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.49,SDFC,2021-07-10,Freezing Chains,2021-02-18 00:00:00+00:00
869.52,ANGU,2021-07-11,Ancient Guardians,2021-05-07 00:00:00+00:00
1490.56,BLVO,2021-07-11,Blazing Vortex,2021-02-04 00:00:00+00:00
19.66,EGS1,2021-07-11,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
946.11,GEIM,2021-07-11,Genesis Impact,2020-12-18 00:00:00+00:00
2000.5,GFTP,2021-07-11,Ghosts From the Past,2021-04-16 00:00:00+00:00
119.67,KICO,2021-07-11,Kings Court,2021-07-08 00:00:00+00:00
1640.93,LIOV,2021-07-11,Lightning Overdrive,2021-06-03 00:00:00+00:00
592.4,OP16,2021-07-11,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.53,SDFC,2021-07-11,Freezing Chains,2021-02-18 00:00:00+00:00
865.33,ANGU,2021-07-12,Ancient Guardians,2021-05-07 00:00:00+00:00
1492.2,BLVO,2021-07-12,Blazing Vortex,2021-02-04 00:00:00+00:00
19.63,EGS1,2021-07-12,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
944.87,GEIM,2021-07-12,Genesis Impact,2020-12-18 00:00:00+00:00
1994.27,GFTP,2021-07-12,Ghosts From the Past,2021-04-16 00:00:00+00:00
126.08,KICO,2021-07-12,Kings Court,2021-07-08 00:00:00+00:00
1638.84,LIOV,2021-07-12,Lightning Overdrive,2021-06-03 00:00:00+00:00
589.8,OP16,2021-07-12,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.52,SDFC,2021-07-12,Freezing Chains,2021-02-18 00:00:00+00:00
863.65,ANGU,2021-07-13,Ancient Guardians,2021-05-07 00:00:00+00:00
1493.57,BLVO,2021-07-13,Blazing Vortex,2021-02-04 00:00:00+00:00
19.55,EGS1,2021-07-13,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
941.27,GEIM,2021-07-13,Genesis Impact,2020-12-18 00:00:00+00:00
1978.0,GFTP,2021-07-13,Ghosts From the Past,2021-04-16 00:00:00+00:00
120.34,KICO,2021-07-13,Kings Court,2021-07-08 00:00:00+00:00
1636.85,LIOV,2021-07-13,Lightning Overdrive,2021-06-03 00:00:00+00:00
585.12,OP16,2021-07-13,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.55,SDFC,2021-07-13,Freezing Chains,2021-02-18 00:00:00+00:00
857.94,ANGU,2021-07-14,Ancient Guardians,2021-05-07 00:00:00+00:00
1495.56,BLVO,2021-07-14,Blazing Vortex,2021-02-04 00:00:00+00:00
19.86,EGS1,2021-07-14,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
939.27,GEIM,2021-07-14,Genesis Impact,2020-12-18 00:00:00+00:00
1972.59,GFTP,2021-07-14,Ghosts From the Past,2021-04-16 00:00:00+00:00
123.27,KICO,2021-07-14,Kings Court,2021-07-08 00:00:00+00:00
1633.66,LIOV,2021-07-14,Lightning Overdrive,2021-06-03 00:00:00+00:00
579.28,OP16,2021-07-14,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.66,SDFC,2021-07-14,Freezing Chains,2021-02-18 00:00:00+00:00
853.02,ANGU,2021-07-15,Ancient Guardians,2021-05-07 00:00:00+00:00
1499.25,BLVO,2021-07-15,Blazing Vortex,2021-02-04 00:00:00+00:00
20.0,EGS1,2021-07-15,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
939.6,GEIM,2021-07-15,Genesis Impact,2020-12-18 00:00:00+00:00
1964.33,GFTP,2021-07-15,Ghosts From the Past,2021-04-16 00:00:00+00:00
121.64,KICO,2021-07-15,Kings Court,2021-07-08 00:00:00+00:00
1630.7,LIOV,2021-07-15,Lightning Overdrive,2021-06-03 00:00:00+00:00
574.54,OP16,2021-07-15,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.62,SDFC,2021-07-15,Freezing Chains,2021-02-18 00:00:00+00:00
849.03,ANGU,2021-07-16,Ancient Guardians,2021-05-07 00:00:00+00:00
1501.72,BLVO,2021-07-16,Blazing Vortex,2021-02-04 00:00:00+00:00
19.42,EGS1,2021-07-16,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
938.03,GEIM,2021-07-16,Genesis Impact,2020-12-18 00:00:00+00:00
1967.28,GFTP,2021-07-16,Ghosts From the Past,2021-04-16 00:00:00+00:00
116.36,KICO,2021-07-16,Kings Court,2021-07-08 00:00:00+00:00
1621.85,LIOV,2021-07-16,Lightning Overdrive,2021-06-03 00:00:00+00:00
567.46,OP16,2021-07-16,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.68,SDFC,2021-07-16,Freezing Chains,2021-02-18 00:00:00+00:00
841.92,ANGU,2021-07-17,Ancient Guardians,2021-05-07 00:00:00+00:00
1500.06,BLVO,2021-07-17,Blazing Vortex,2021-02-04 00:00:00+00:00
19.47,EGS1,2021-07-17,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
939.97,GEIM,2021-07-17,Genesis Impact,2020-12-18 00:00:00+00:00
1963.94,GFTP,2021-07-17,Ghosts From the Past,2021-04-16 00:00:00+00:00
118.97,KICO,2021-07-17,Kings Court,2021-07-08 00:00:00+00:00
1620.41,LIOV,2021-07-17,Lightning Overdrive,2021-06-03 00:00:00+00:00
564.56,OP16,2021-07-17,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.6,SDFC,2021-07-17,Freezing Chains,2021-02-18 00:00:00+00:00
839.83,ANGU,2021-07-18,Ancient Guardians,2021-05-07 00:00:00+00:00
1495.17,BLVO,2021-07-18,Blazing Vortex,2021-02-04 00:00:00+00:00
19.73,EGS1,2021-07-18,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
940.5,GEIM,2021-07-18,Genesis Impact,2020-12-18 00:00:00+00:00
1962.21,GFTP,2021-07-18,Ghosts From the Past,2021-04-16 00:00:00+00:00
115.92,KICO,2021-07-18,Kings Court,2021-07-08 00:00:00+00:00
1613.99,LIOV,2021-07-18,Lightning Overdrive,2021-06-03 00:00:00+00:00
553.74,OP16,2021-07-18,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.63,SDFC,2021-07-18,Freezing Chains,2021-02-18 00:00:00+00:00
835.19,ANGU,2021-07-19,Ancient Guardians,2021-05-07 00:00:00+00:00
1491.37,BLVO,2021-07-19,Blazing Vortex,2021-02-04 00:00:00+00:00
20.11,EGS1,2021-07-19,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
940.27,GEIM,2021-07-19,Genesis Impact,2020-12-18 00:00:00+00:00
1962.27,GFTP,2021-07-19,Ghosts From the Past,2021-04-16 00:00:00+00:00
115.17,KICO,2021-07-19,Kings Court,2021-07-08 00:00:00+00:00
1613.44,LIOV,2021-07-19,Lightning Overdrive,2021-06-03 00:00:00+00:00
552.31,OP16,2021-07-19,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.67,SDFC,2021-07-19,Freezing Chains,2021-02-18 00:00:00+00:00
833.26,ANGU,2021-07-20,Ancient Guardians,2021-05-07 00:00:00+00:00
1488.01,BLVO,2021-07-20,Blazing Vortex,2021-02-04 00:00:00+00:00
19.82,EGS1,2021-07-20,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
938.65,GEIM,2021-07-20,Genesis Impact,2020-12-18 00:00:00+00:00
1951.94,GFTP,2021-07-20,Ghosts From the Past,2021-04-16 00:00:00+00:00
113.94,KICO,2021-07-20,Kings Court,2021-07-08 00:00:00+00:00
1612.01,LIOV,2021-07-20,Lightning Overdrive,2021-06-03 00:00:00+00:00
546.28,OP16,2021-07-20,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.44,SDFC,2021-07-20,Freezing Chains,2021-02-18 00:00:00+00:00
828.94,ANGU,2021-07-21,Ancient Guardians,2021-05-07 00:00:00+00:00
1486.73,BLVO,2021-07-21,Blazing Vortex,2021-02-04 00:00:00+00:00
19.63,EGS1,2021-07-21,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
936.19,GEIM,2021-07-21,Genesis Impact,2020-12-18 00:00:00+00:00
