rarity,imageUrl,tcgplayerUrl,tcg_product_id
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/103947_200w.jpg,https://www.tcgplayer.com/product/103947/yugioh-structure-deck-synchron-extreme-jet-warrior,103947
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/94040_200w.jpg,https://www.tcgplayer.com/product/94040/yugioh-legendary-collection-5ds-tg-cyber-magician,94040
Common,https://tcgplayer-cdn.tcgplayer.com/product/92554_200w.jpg,https://www.tcgplayer.com/product/92554/yugioh-2014-mega-tins-mega-pack-battlin-boxer-sparrer,92554
Common,https://tcgplayer-cdn.tcgplayer.com/product/71632_200w.jpg,https://www.tcgplayer.com/product/71632/yugioh-legendary-collection-4-joeys-world-amazoness-fighter,71632
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/78046_200w.jpg,https://www.tcgplayer.com/product/78046/yugioh-astral-pack-3-noble-arms-arfeudutyr,78046
Common,https://tcgplayer-cdn.tcgplayer.com/product/68115_200w.jpg,https://www.tcgplayer.com/product/68115/yugioh-lord-of-the-tachyon-galaxy-battlin-boxer-sparrer,68115
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/77567_200w.jpg,https://www.tcgplayer.com/product/77567/yugioh-star-pack-2013-gandora-the-dragon-of-destruction-starfoil,77567
Common,https://tcgplayer-cdn.tcgplayer.com/product/67738_200w.jpg,https://www.tcgplayer.com/product/67738/yugioh-structure-deck-onslaught-of-the-fire-kings-flamvell-counter,67738
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81591_200w.jpg,https://www.tcgplayer.com/product/81591/yugioh-duel-terminal-7-ehren-lightsworn-monk,81591
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81483_200w.jpg,https://www.tcgplayer.com/product/81483/yugioh-duel-terminal-6-elemental-hero-neos-alius,81483
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/69715_200w.jpg,https://www.tcgplayer.com/product/69715/yugioh-battle-pack-epic-dawn-snowman-eater-starfoil,69715
Rare,https://tcgplayer-cdn.tcgplayer.com/product/40086_200w.jpg,https://www.tcgplayer.com/product/40086/yugioh-extreme-victory-soundproofed,40086
Common,https://tcgplayer-cdn.tcgplayer.com/product/39378_200w.jpg,https://www.tcgplayer.com/product/39378/yugioh-structure-deck-dragunity-legion-legacy-of-yata-garasu,39378
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/253948_200w.jpg,https://www.tcgplayer.com/product/253948/yugioh-maximum-gold-el-dorado-book-of-moon,253948
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/252534_200w.jpg,https://www.tcgplayer.com/product/252534/yugioh-burst-of-destiny-rokket-caliber,252534
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235768_200w.jpg,https://www.tcgplayer.com/product/235768/yugioh-ghosts-from-the-past-resonator-call,235768
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/232929_200w.jpg,https://www.tcgplayer.com/product/232929/yugioh-ots-tournament-pack-15-proxy-f-magician,232929
Common,https://tcgplayer-cdn.tcgplayer.com/product/227997_200w.jpg,https://www.tcgplayer.com/product/227997/yugioh-speed-duel-battle-city-box-shrink,227997
Common,https://tcgplayer-cdn.tcgplayer.com/product/228094_200w.jpg,https://www.tcgplayer.com/product/228094/yugioh-speed-duel-battle-city-box-hammer-shot,228094
Common,https://tcgplayer-cdn.tcgplayer.com/product/228072_200w.jpg,https://www.tcgplayer.com/product/228072/yugioh-speed-duel-battle-city-box-waboku,228072
Common,https://tcgplayer-cdn.tcgplayer.com/product/217477_200w.jpg,https://www.tcgplayer.com/product/217477/yugioh-legendary-duelists-season-1-parasite-paranoid,217477
Common,https://tcgplayer-cdn.tcgplayer.com/product/216683_200w.jpg,https://www.tcgplayer.com/product/216683/yugioh-ots-tournament-pack-13-gravity-collapse,216683
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/221574_200w.jpg,https://www.tcgplayer.com/product/221574/yugioh-dragons-of-legend-the-complete-series-rank-up-magic-quick-chaos,221574
Common,https://tcgplayer-cdn.tcgplayer.com/product/213950_200w.jpg,https://www.tcgplayer.com/product/213950/yugioh-speed-duel-decks-match-of-the-millennium-gaia-the-fierce-knight,213950
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/196810_200w.jpg,https://www.tcgplayer.com/product/196810/yugioh-structure-deck-rokket-revolt-absorouter-dragon,196810
