date,difference,first_date,first_price,high,last_date,last_price,low,market,mid,name,number,p_change,period,product_id,set_name,sub_type,tcg_product_id,updated_at
2023-09-26 10:03:37.035373,0.77,2023-07-02 00:00:00.000000,0.69,10.86,2023-10-01 00:00:00.000000,1.46,0.54,1.53,1.49,T.G. Striker,OP09-EN015,0.5273972602739726,90,1021,OTS Tournament Pack 9,Unlimited,181772,2018-12-07 00:00:00+00:00
2023-09-26 10:03:06.966939,0.89,2023-07-02 00:00:00.000000,0.71,2.99,2023-10-01 00:00:00.000000,1.6,0.25,1.55,0.6,Red-Eyes Zombie Dragon,SR07-EN005,0.55625,90,744,Zombie Horde,1st Edition,179258,2018-11-01 00:00:00+00:00
2023-09-25 10:04:58.302893,1.96,2023-07-02 00:00:00.000000,0.17,6.99,2023-10-01 00:00:00.000000,2.13,1.64,2.0,2.35,Marionette Mite,SR07-EN020,0.92018779342723,90,2069,Zombie Horde,1st Edition,179273,2018-11-01 00:00:00+00:00
2023-08-06 11:10:21.963368,1.95,2023-07-02 00:00:00.000000,0.96,7.0,2023-10-01 00:00:00.000000,2.91,1.15,2.44,4.47,Altergeist Primebanshee,MP18-EN135,0.6701030927835051,90,9564,2018 Mega-Tins Mega Pack,1st Edition,174848,2018-08-31 00:00:00+00:00
2023-07-16 11:10:52.195519,1.65,2023-07-02 00:00:00.000000,0.755,3.95,2023-10-01 00:00:00.000000,2.405,0.62,0.83,0.96,Sacred Noble Knight of King Custennin,CYHO-EN089,0.6860706860706861,90,9545,Cybernetic Horizon,1st Edition,170766,2018-07-26 00:00:00+00:00
2023-09-18 10:02:43.584309,1.84,2023-07-02 00:00:00.000000,0.96,9.99,2023-10-01 00:00:00.000000,2.8,2.85,4.28,4.72,Fiendish Rhino Warrior,SR06-EN017,0.6571428571428571,90,548,Lair of Darkness,1st Edition,165483,2018-04-19 00:00:00+00:00
2023-07-08 11:08:33.449467,3.755,2023-07-02 00:00:00.000000,0.845,6.98,2023-10-01 00:00:00.000000,4.6,0.35,0.8,1.1,D/D/D Wave High King Caesar,COTD-EN042,0.816304347826087,90,6865,Code of the Duelist,1st Edition,139206,2017-08-03 00:00:00+00:00
2023-08-15 11:23:40.332898,1.6,2023-07-02 00:00:00.000000,0.53,5.29,2023-10-01 00:00:00.000000,2.13,0.3,1.97,2.73,D/D/D Stone King Darius,MACR-EN045,0.7511737089201878,90,23923,Maximum Crisis,1st Edition,131162,2017-05-04 00:00:00+00:00
2023-07-30 11:11:08.140477,0.89,2023-07-02 00:00:00.000000,0.67,9.99,2023-10-01 00:00:00.000000,1.56,0.5,0.76,0.99,M-X-Saber Invoker,DUSA-EN095,0.5705128205128205,90,10025,Duelist Saga,1st Edition,129669,2017-03-30 00:00:00+00:00
2023-07-09 11:12:56.725258,1.32,2023-07-02 00:00:00.000000,0.5,5.0,2023-10-01 00:00:00.000000,1.82,0.25,0.55,0.5,Full Armored Crystalzero Lancer,DUSA-EN007,0.7252747252747253,90,9458,Duelist Saga,1st Edition,129581,2017-03-30 00:00:00+00:00
2023-07-30 11:20:15.268620,0.81,2023-07-02 00:00:00.000000,0.84,9.9,2023-10-01 00:00:00.000000,1.65,0.6,0.82,2.1,Storming Mirror Force,PGL3-EN099,0.4909090909090909,90,22995,Premium Gold: Infinite Gold,1st Edition,115884,2016-03-17 00:00:00+00:00
2023-07-20 11:25:34.492596,2.87,2023-07-02 00:00:00.000000,0.775,3.0,2023-10-01 00:00:00.000000,3.645,0.48,0.85,0.99,Fiendish Rhino Warrior,BOSH-EN091,0.7873799725651578,90,23706,Breakers of Shadow,1st Edition,111190,2016-01-15 00:00:00+00:00
2023-07-16 11:20:26.627457,1.1,2023-07-02 00:00:00.000000,0.685,2.0,2023-10-01 00:00:00.000000,1.785,0.49,0.4,0.6,Majespecter Tornado,DOCS-EN072,0.6162464985994398,90,22581,Dimension of Chaos,Unlimited,107709,2015-11-06 00:00:00+00:00
2023-07-04 11:24:32.892278,2.085,2023-07-02 00:00:00.000000,0.94,1.99,2023-10-01 00:00:00.000000,3.025,0.45,0.9,0.97,Majespecter Unicorn - Kirin,DOCS-EN029,0.6892561983471074,90,24160,Dimension of Chaos,Unlimited,107659,2015-11-06 00:00:00+00:00
2023-08-19 11:10:29.816127,1.57,2023-07-02 00:00:00.000000,0.59,9.59,2023-10-01 00:00:00.000000,2.16,0.5,3.54,3.52,Jet Warrior,SDSE-EN041,0.7268518518518519,90,9423,Synchron Extreme,1st Edition,103947,2015-08-27 00:00:00+00:00
2023-08-05 11:24:26.363985,1.59,2023-07-02 00:00:00.000000,0.7,10.0,2023-10-01 00:00:00.000000,2.29,1.15,2.2,2.1,T.G. Cyber Magician,LC5D-EN205,0.6943231441048034,90,28277,Legendary Collection 5D's Mega Pack,1st Edition,94040,2014-10-23 00:00:00+00:00
2023-08-19 11:06:56.201232,1.13,2023-07-02 00:00:00.000000,0.53,2.98,2023-10-01 00:00:00.000000,1.66,0.24,0.98,2.0,Battlin' Boxer Sparrer,MP14-EN004,0.6807228915662651,90,4954,2014 Mega-Tins Mega Pack,1st Edition,92554,2014-08-29 00:00:00+00:00
2023-09-21 10:06:36.228403,1.25,2023-07-02 00:00:00.000000,0.59,6.0,2023-10-01 00:00:00.000000,1.84,1.17,1.53,2.13,Amazoness Fighter,LCJW-EN088,0.6793478260869565,90,3133,Legendary Collection 4: Joey's World Mega Pack,1st Edition,71632,2013-10-10 00:00:00+00:00
2023-07-23 11:17:00.133305,2.26,2023-07-02 00:00:00.000000,0.82,10.0,2023-10-01 00:00:00.000000,3.08,0.45,0.99,1.35,Noble Arms - Arfeudutyr,AP03-EN010,0.7337662337662337,90,17468,Astral Pack Three,Unlimited,78046,2013-09-13 00:00:00+00:00
2023-09-15 10:04:35.508766,1.46,2023-07-02 00:00:00.000000,0.27,3.99,2023-10-01 00:00:00.000000,1.73,0.75,1.6,1.64,Battlin' Boxer Sparrer,LTGY-EN018,0.8439306358381503,90,1615,Lord of the Tachyon Galaxy,1st Edition,68115,2013-05-17 00:00:00+00:00
2023-07-28 11:16:51.158886,2.445,2023-07-02 00:00:00.000000,0.99,3.0,2023-10-01 00:00:00.000000,3.435,0.75,0.99,1.01,Gandora the Dragon of Destruction,SP13-EN041,0.7117903930131004,90,12416,Star Pack 2013,Unlimited,77567,2013-02-22 00:00:00+00:00
2023-10-01 11:26:19.020710,0.97,2023-07-02 00:00:00.000000,0.38,3.98,2023-10-01 00:00:00.000000,1.35,0.5,1.35,1.17,Flamvell Counter,SDOK-EN032,0.7185185185185186,90,20692,Onslaught of the Fire Kings Structure Deck,1st Edition,67738,2013-02-08 00:00:00+00:00
2023-09-14 10:08:07.114295,1.13,2023-07-02 00:00:00.000000,0.93,5.0,2023-10-01 00:00:00.000000,2.06,1.67,1.92,2.72,"Ehren, Lightsworn Monk",DT07-EN059,0.5485436893203883,90,5600,Duel Terminal 7,Limited,81591,2012-09-28 00:00:00+00:00
2023-09-27 10:25:44.867365,0.97,2023-07-02 00:00:00.000000,0.73,8.5,2023-10-01 00:00:00.000000,1.7,1.8,1.4,2.99,Elemental Hero Neos Alius,DT06-EN052,0.5705882352941176,90,28060,Duel Terminal 6,Limited,81483,2012-05-25 00:00:00+00:00
2023-09-20 10:13:59.274125,1.81,2023-07-02 00:00:00.000000,0.64,4.5,2023-10-01 00:00:00.000000,2.45,0.49,2.42,3.39,Snowman Eater,BP01-EN064,0.7387755102040816,90,12583,Battle Pack: Epic Dawn,1st Edition,69715,2012-05-24 00:00:00+00:00
2023-09-30 11:22:56.633517,0.87,2023-07-02 00:00:00.000000,0.53,2.92,2023-10-01 00:00:00.000000,1.4,0.24,1.12,0.95,Soundproofed,EXVC-EN060,0.6214285714285714,90,18330,Extreme Victory,Unlimited,40086,2011-05-10 00:00:00+00:00
2023-07-02 11:19:28.987727,0.88,2023-07-02 00:00:00.000000,0.795,2.51,2023-10-01 00:00:00.000000,1.675,0.45,0.96,1.0,Legacy of Yata-Garasu,SDDL-EN033,0.5253731343283582,90,20700,Dragunity Legion Structure Deck,1st Edition,39378,2011-03-08 00:00:00+00:00
2023-05-13 11:30:16.260289,0.78,2023-04-03 00:00:00.000000,0.73,5.99,2023-10-01 00:00:00.000000,1.51,0.48,0.74,0.95,Book of Moon,MGED-EN039,0.5165562913907285,180,30716,Maximum Gold: El Dorado,1st Edition,253948,2021-11-19 00:00:00+00:00
2023-07-31 11:27:05.380652,0.99,2023-04-03 00:00:00.000000,0.77,5.0,2023-10-01 00:00:00.000000,1.76,0.86,2.02,2.0,Rokket Caliber,BODE-EN001,0.5625,180,30545,Burst of Destiny,1st Edition,252534,2021-11-05 00:00:00+00:00
2023-04-07 11:31:38.082440,1.32,2023-04-03 00:00:00.000000,0.85,6.0,2023-10-01 00:00:00.000000,2.17,0.35,0.88,0.99,Resonator Call,GFTP-EN115,0.6082949308755761,180,29595,Ghosts From the Past,1st Edition,235768,2021-04-16 00:00:00+00:00
2023-09-26 10:24:44.887431,0.88,2023-04-03 00:00:00.000000,0.5,5.0,2023-10-01 00:00:00.000000,1.38,0.96,1.26,1.92,Proxy F Magician,OP15-EN009,0.6376811594202898,180,29519,OTS Tournament Pack 15,Unlimited,232929,2021-02-17 00:00:00+00:00
2023-08-20 11:24:07.588848,3.14,2023-04-03 00:00:00.000000,0.57,6.06,2023-10-01 00:00:00.000000,3.71,1.44,3.97,4.02,Shrink,SBCB-EN099,0.8463611859838275,180,28927,Speed Duel: Battle City Box,1st Edition,227997,2020-12-11 00:00:00+00:00
2023-09-14 10:24:46.593236,1.06,2023-04-03 00:00:00.000000,0.44,4.9,2023-10-01 00:00:00.000000,1.5,0.23,1.57,1.5,Hammer Shot,SBCB-EN162,0.7066666666666667,180,29017,Speed Duel: Battle City Box,1st Edition,228094,2020-12-11 00:00:00+00:00
2023-09-14 10:24:45.825567,2.01,2023-04-03 00:00:00.000000,0.7,4.0,2023-10-01 00:00:00.000000,2.71,0.99,2.38,3.75,Waboku,SBCB-EN143,0.7416974169741697,180,28996,Speed Duel: Battle City Box,1st Edition,228072,2020-12-11 00:00:00+00:00
2023-08-11 11:26:55.196088,0.81,2023-04-03 00:00:00.000000,0.56,4.99,2023-10-01 00:00:00.000000,1.37,0.33,1.47,0.94,Parasite Paranoid,LDS1-EN071,0.5912408759124088,180,23172,Legendary Duelists: Season 1,1st Edition,217477,2020-07-03 00:00:00+00:00
2023-08-06 11:22:17.068185,1.48,2023-04-03 00:00:00.000000,0.82,13.99,2023-10-01 00:00:00.000000,2.3,1.99,2.15,3.5,Gravity Collapse,OP13-EN024,0.6434782608695652,180,26475,OTS Tournament Pack 13,Unlimited,216683,2020-06-15 00:00:00+00:00
2023-04-08 11:27:14.538610,0.86,2023-04-03 00:00:00.000000,0.78,2.01,2023-10-01 00:00:00.000000,1.64,0.12,0.82,0.55,Rank-Up-Magic Quick Chaos,DLCS-EN044,0.524390243902439,180,26391,Dragons of Legend: The Complete Series,1st Edition,221574,2020-05-15 00:00:00+00:00
2023-04-08 11:24:25.166866,0.77,2023-04-03 00:00:00.000000,0.79,2.58,2023-10-01 00:00:00.000000,1.56,0.5,0.79,1.34,Gaia The Fierce Knight,SS04-ENA02,0.4935897435897436,180,23365,Speed Duel Starter Decks: Match of the Millennium,1st Edition,213950,2020-05-15 00:00:00+00:00
2023-07-09 11:10:42.725106,0.95,2023-04-03 00:00:00.000000,0.74,10.0,2023-10-01 00:00:00.000000,1.69,0.77,1.6,1.61,Absorouter Dragon,SDRR-EN005,0.5621301775147929,180,6805,Rokket Revolt,1st Edition,196810,2019-08-16 00:00:00+00:00
2023-07-09 11:12:43.154853,0.83,2023-04-03 00:00:00.000000,0.55,4.0,2023-10-01 00:00:00.000000,1.38,0.4,1.4,1.68,Borreload Furious Dragon,SDRR-EN042,0.6014492753623188,180,9187,Rokket Revolt,1st Edition,196857,2019-08-16 00:00:00+00:00
2023-06-13 11:02:28.099861,0.81,2023-04-03 00:00:00.000000,0.95,5.15,2023-10-01 00:00:00.000000,1.76,1.17,1.51,1.88,Super Quantum Red Layer,OP10-EN016,0.4602272727272727,180,209,OTS Tournament Pack 10,Unlimited,188938,2019-04-18 00:00:00+00:00
