date,difference,first_date,first_price,high,last_date,last_price,low,market,mid,name,number,p_change,period,product_id,set_name,sub_type,tcg_product_id,updated_at
2023-08-20 11:02:41.461489,0.89,2023-07-03 00:00:00.000000,0.71,2.99,2023-10-01 00:00:00.000000,1.6,0.25,1.11,0.69,Red-Eyes Zombie Dragon,SR07-EN005,0.55625,90,744,Zombie Horde,1st Edition,179258,2018-11-01 00:00:00+00:00
2023-08-07 11:04:51.788639,1.96,2023-07-03 00:00:00.000000,0.17,1.55,2023-10-01 00:00:00.000000,2.13,0.02,0.18,0.25,Marionette Mite,SR07-EN020,0.92018779342723,90,2069,Zombie Horde,1st Edition,179273,2018-11-01 00:00:00+00:00
2023-07-06 11:12:16.167979,1.96,2023-07-03 00:00:00.000000,0.95,3.0,2023-10-01 00:00:00.000000,2.91,0.55,0.92,1.0,Altergeist Primebanshee,MP18-EN135,0.6735395189003437,90,9564,2018 Mega-Tins Mega Pack,1st Edition,174848,2018-08-31 00:00:00+00:00
2023-09-29 11:20:11.397288,1.67,2023-07-03 00:00:00.000000,0.735,9.95,2023-10-01 00:00:00.000000,2.405,0.9,1.35,1.76,Sacred Noble Knight of King Custennin,CYHO-EN089,0.6943866943866944,90,9545,Cybernetic Horizon,1st Edition,170766,2018-07-26 00:00:00+00:00
2023-07-30 11:02:34.769008,1.81,2023-07-03 00:00:00.000000,0.99,2.29,2023-10-01 00:00:00.000000,2.8,0.47,1.05,0.91,Fiendish Rhino Warrior,SR06-EN017,0.6464285714285715,90,548,Lair of Darkness,1st Edition,165483,2018-04-19 00:00:00+00:00
2023-07-28 11:13:54.274291,0.84,2023-07-03 00:00:00.000000,0.91,8.97,2023-10-01 00:00:00.000000,1.75,0.93,1.34,1.82,Starving Venom Fusion Dragon,LEDD-ENC25,0.48,90,9266,Legendary Dragon Decks,1st Edition,147088,2017-10-06 00:00:00+00:00
2023-09-25 10:08:56.714964,3.75,2023-07-03 00:00:00.000000,0.85,19.99,2023-10-01 00:00:00.000000,4.6,3.5,4.48,4.98,D/D/D Wave High King Caesar,COTD-EN042,0.8152173913043478,90,6865,Code of the Duelist,1st Edition,139206,2017-08-03 00:00:00+00:00
2023-07-17 11:24:15.828869,1.6,2023-07-03 00:00:00.000000,0.53,1.5,2023-10-01 00:00:00.000000,2.13,0.25,0.51,0.58,D/D/D Stone King Darius,MACR-EN045,0.7511737089201878,90,23923,Maximum Crisis,Unlimited,131162,2017-05-04 00:00:00+00:00
2023-10-01 11:19:05.018602,1.32,2023-07-03 00:00:00.000000,0.5,6.96,2023-10-01 00:00:00.000000,1.82,0.25,1.82,0.75,Full Armored Crystalzero Lancer,DUSA-EN007,0.7252747252747253,90,9458,Duelist Saga,1st Edition,129581,2017-03-30 00:00:00+00:00
2023-09-30 11:17:54.743292,0.93,2023-07-03 00:00:00.000000,0.63,19.98,2023-10-01 00:00:00.000000,1.56,0.8,1.56,6.13,M-X-Saber Invoker,DUSA-EN095,0.5961538461538461,90,10025,Duelist Saga,1st Edition,129669,2017-03-30 00:00:00+00:00
2023-10-01 11:27:54.099711,0.81,2023-07-03 00:00:00.000000,0.84,9.9,2023-10-01 00:00:00.000000,1.65,0.93,1.65,1.72,Storming Mirror Force,PGL3-EN099,0.4909090909090909,90,22995,Premium Gold: Infinite Gold,1st Edition,115884,2016-03-17 00:00:00+00:00
